Episodes	Reward	AvgReward	Iterations	Loss	Time
700	185.6810008848104	128.9315394918312	397	1372.980218976736	5406.641836166382
701	158.47551525741255	129.45300909024616	641	2214.539187312126	5422.94883108139
702	193.35246858626806	130.08980568306384	542	1989.6313774883747	5436.808744192123
703	184.21328329702965	129.7351404365341	847	3020.6934122741222	5458.421497106552
704	150.6147708731968	131.18068429068245	962	2974.0829782783985	5482.452516317368
705	214.30775824505383	132.7650765688465	463	1549.4798792302608	5493.953487157822
706	170.53861498271277	133.9980368776333	562	2153.496541529894	5507.820490121841
707	144.87153976869473	134.74095407732753	804	2632.9124577641487	5528.436057090759
708	185.77380258639658	136.16960650880412	627	2449.4572709798813	5544.4480493068695
709	66.32202244233032	135.66150254639723	1000	4132.7401304244995	5570.809284210205
710	-261.05173208359497	131.22475740427024	521	2233.8436430692673	5583.6102430820465
711	-64.2490932125542	129.05794236457575	431	1718.2978697121143	5594.39719414711
712	12.737675826487944	127.22499262093665	1000	3845.2884583473206	5620.454117298126
713	153.39993734093144	130.80057250108706	836	3171.6494891941547	5642.692377090454
714	151.23068746003355	131.33366432903046	888	3242.2909833192825	5666.694833278656
715	215.22641751846675	132.00320211966314	482	1604.154975026846	5679.3042113780975
716	188.54083289798984	133.3865165102141	591	2561.7215950489044	5695.097566366196
717	104.80048117846403	132.8697886169215	1000	3946.4831133186817	5721.148017168045
718	97.8662124301876	131.9814251917569	1000	3365.5845647007227	5746.807497262955
719	-229.26150283870538	127.62329176622453	367	1550.5784381330013	5756.376529216766
720	151.8384187002178	129.8893658428682	539	1703.6412163674831	5770.667636156082
721	-251.68623888492718	125.97742680044318	329	880.4303794205189	5779.151185274124
722	194.83821392648412	126.09110668283913	775	2466.1176042556763	5799.3537402153015
723	194.47479065865207	126.49594369561905	625	2502.411623328924	5815.551267147064
724	194.00261109720878	128.47205594076772	471	1814.7105762064457	5827.701469182968
725	162.01297025338505	128.1944181661599	500	1906.0688418745995	5840.869407176971
726	32.16886637940017	126.75800399087325	1000	3260.8253210633993	5867.020680189133
727	113.63709516676671	126.58172561506458	393	1422.9706749022007	5877.134181261063
728	185.56249097920994	127.36917956226102	790	2667.440745085478	5898.454291343689
729	179.18998398683453	127.89157003276448	411	1717.635719269514	5916.908205270767
730	56.52768617946608	126.70378911703142	1000	3976.6298260986805	5939.511049985886
731	66.43877027206545	126.94715303586487	1000	3465.7592101693153	5959.026148080826
732	211.0045184446069	126.84410754955829	726	2684.159670174122	5972.999267101288
733	172.2372719240342	126.65700046852223	645	2124.7426452040672	5985.009424209595
734	164.41767798795325	126.68227679717455	972	3082.0704734921455	6004.363598108292
735	156.04132243320532	126.96105768015563	704	2259.3930809497833	6017.89751124382
736	82.10941306016748	126.29428811197641	985	3382.386640369892	6037.741109132767
737	203.26866351001172	127.75649125508897	471	1665.1523154079914	6046.705471992493
738	145.37109695874534	127.51584675040323	321	1053.7635270357132	6052.428526163101
739	199.9922582099178	128.1557418140786	507	1888.5639543533325	6061.875383138657
740	-70.737252677593	128.15838091288168	365	1670.2452114224434	6068.713936328888
741	138.05920631387653	127.25933696081742	916	3654.987801015377	6086.214046239853
742	242.85207352794728	128.53753719922528	706	3013.491571724415	6099.885047197342
743	168.2695870778698	132.53145374798402	732	2792.1187331974506	6113.41473531723
744	184.87796164216178	133.7099197482534	605	2276.062847673893	6125.162558317184
745	164.20880913069612	133.11827651547284	597	2200.6562965512276	6137.171318054199
746	138.94670008169265	132.21101960272213	837	3482.344112187624	6154.058755159378
747	155.9099777811631	132.10623261040627	645	2472.3952101171017	6166.654970169067
748	99.61940500828257	131.2116261459672	459	1406.1743528544903	6175.35440325737
749	35.60957598815913	130.42371508676584	1000	3436.2470531761646	6195.907795190811
750	95.3624491597302	130.78118967689366	811	3120.015574991703	6212.355338096619
751	-141.13916057400812	127.72658509169042	365	1424.211348503828	6219.319305419922
752	221.54781022867547	127.64116735728769	458	1790.3091553598642	6228.034361124039
753	198.57353704784776	127.82346554731413	531	1865.1614118516445	6238.426325082779
754	131.792761089652	127.13774087812575	627	2810.416560769081	6250.787959098816
755	-207.35683784072603	123.26853646622878	352	1181.0292752087116	6258.234219074249
756	172.604328129953	123.10680937441155	480	1366.5268994867802	6267.192543029785
757	210.37548693793377	123.40339383681369	470	1642.9044433683157	6276.5358102321625
758	-188.9450009521908	119.93284387498034	429	1479.1010851860046	6284.877352952957
759	198.23905459251733	120.12266643534171	637	2352.5006723999977	6298.044812202454
760	182.29650894541962	120.08447818275891	733	2857.594078838825	6312.633854389191
761	197.32882960036838	120.1345275209158	422	1723.9252421557903	6320.829722166061
762	169.5120457253984	122.73583670496764	719	2687.950988173485	6334.991928100586
763	64.88044224970172	121.49913485915751	514	1565.486468911171	6345.127449274063
764	20.841638890743248	123.2305977302739	1000	3978.3681302517653	6365.114887237549
765	137.81595018198323	122.41816877228437	629	2156.4455189853907	6377.201403141022
766	172.97958428154485	122.64981397389273	520	1751.6881192028522	6387.586200237274
767	115.05856570663775	123.9399976156789	623	2094.7983332276344	6399.929906368256
768	166.94309831430945	124.68544975280895	882	2990.229611635208	6417.7184882164
769	177.13487843673212	125.2069192849	692	3094.667261838913	6431.094703197479
770	154.11495215913064	124.73422136088286	463	1689.323036044836	6440.158693313599
771	-240.21064776302862	120.77759194570304	479	1635.5438565909863	6449.726321220398
772	153.52170508260275	121.29660729661461	693	2844.595220208168	6463.809801340103
773	196.12584114658105	121.153159450145	474	2078.6855841577053	6473.331996202469
774	-86.11697811677179	118.82524024024106	186	850.6633172929287	6476.940751314163
775	142.99336641261556	122.09335133192661	469	1998.334284067154	6486.286028146744
776	56.50258936452893	120.54351102503793	1000	3684.90107101202	6507.584836244583
777	192.9604669006148	120.5449568414958	523	2206.433976203203	6518.194656133652
778	148.6732304605945	119.85141435702604	371	1581.3633442521095	6525.4498863220215
779	65.82844252882906	118.80493416048502	1000	3534.4988995194435	6546.469045162201
780	190.94902900872677	118.81995783338951	679	2109.1054052859545	6560.210368156433
781	208.3703848277206	120.34563808532766	414	1073.05211353302	6568.393374204636
782	55.23250790775974	119.46213396077535	1000	3479.922680065036	6589.802786111832
783	184.2051148192192	119.55735674176935	421	1508.2957867383957	6598.080086231232
784	158.20940003839863	119.34395111587001	803	2791.9247156381607	6615.22062420845
785	178.07208734416946	119.95796506023375	423	1464.6921164989471	6624.013317108154
786	183.92144031222352	119.93341964832584	731	2552.433314651251	6639.087448120117
787	155.8457517485745	119.64868217538019	597	2406.4705145061016	6651.165549039841
788	177.63791687568227	119.88052391477873	527	1790.06301343441	6661.868324279785
789	173.64709460649885	119.933510270543	808	2670.524765431881	6678.601781129837
790	206.39709727678448	120.31208420896428	402	1328.5802680402994	6686.816931247711
791	206.55647210613736	120.58253028170061	763	2487.850412249565	6702.654762029648
792	201.4434043615055	120.87568361735542	972	3152.1669737696648	6723.095386266708
793	207.53299275040268	121.11004117515338	647	2179.1139943003654	6737.250130176544
794	96.74621969999468	120.88564645062074	730	2620.7731149047613	6752.472254276276
795	132.37558537262456	120.59909238488729	781	2780.3109336197376	6768.6873552799225
796	162.4017799623507	120.46818565997793	380	1196.602859288454	6776.400619029999
797	76.11007184902267	119.33567837395927	901	3351.4241156578064	6795.243532180786
798	139.3595667028854	118.94718872846433	596	1715.0934091508389	6807.714280366898
799	95.74648910584473	118.98290645506619	1000	3791.2572823762894	6828.648312091827
800	192.70636435380572	120.37782502888639	528	1945.7199485898018	6839.758898258209
801	174.5124041350185	120.26724486304688	524	1708.341128051281	6850.772131204605
802	165.18318286910372	120.33365741365768	468	1367.889433607459	6860.388482093811
803	105.38779115446262	119.46272001334276	745	2930.5332439243793	6877.05181312561
804	186.45956564283495	119.48496043260816	409	1451.7398520559072	6885.793428182602
805	200.91968590208552	119.98302889824072	900	2973.31357139349	6904.959748268127
806	103.65112451575392	118.88741866329717	786	2876.231802865863	6921.399921178818
807	205.1807414590071	119.23041001454763	380	1467.2415835559368	6929.0946843624115
808	178.53106156096362	119.56367260655028	955	3322.2395227253437	6949.507984161377
809	217.18897830823528	119.87471395033086	494	1581.7774479985237	6959.976410150528
810	127.98303346073584	120.48521900991904	658	2345.9878898859024	6974.214496135712
811	150.295917115154	124.55796801188684	580	2331.191573113203	6986.490009307861
812	184.52643266292355	127.02109203045593	580	1998.2966081500053	6998.6936230659485
813	-26.872783391438503	126.62890926592202	1000	3548.8921866714954	7020.1983761787415
814	169.75068042706016	126.79079781132923	545	1943.2405985295773	7031.9721159935
815	217.0970879291437	127.4429403902313	530	1639.9860154688358	7042.9134612083435
816	180.28907512239786	127.09702610908211	531	1621.7530654668808	7054.213090181351
817	168.3212743846336	126.89683246043502	999	2953.744779124856	7076.026583194733
818	210.39559792610834	127.94232866585723	489	2003.6793943941593	7086.442503213882
819	166.0378048523932	128.6172949274632	462	1277.9612967073917	7096.272614240646
820	63.15731485804584	131.51253074624296	1000	3233.076229184866	7117.399695158005
821	126.88585925130654	131.26547570219432	475	1593.1148101985455	7127.59676527977
822	207.10191880522703	135.8079327090275	606	1860.1579328477383	7140.7618980407715
823	182.9818404590277	135.69054287271607	475	1523.1073305010796	7150.969850301743
824	133.38591867128798	135.0857025560095	509	1879.8070491552353	7161.974482297897
825	205.12105860474605	135.19578619469797	505	1828.84720531106	7172.598210096359
826	204.9909571717987	135.62131081765256	550	2393.7091389000416	7184.568063020706
827	215.25569341717227	137.4340516794127	497	1611.466809272766	7195.41979598999
828	186.25308980558543	138.15302192336136	502	1573.202189564705	7206.418896198273
829	193.84074106865313	138.23498479553407	922	3222.234649568796	7227.498281002045
830	211.1139585921071	138.55106375202192	435	1235.462468355894	7236.8278632164
831	188.4175929800419	139.85690441341376	378	1333.2639988660812	7244.892121076584
832	244.84411005002147	141.6232939161658	288	1174.6437039971352	7251.086003303528
833	243.20380714294947	141.94209875476326	303	1156.8621656000614	7257.584711313248
834	160.33343924051724	141.8242390252235	464	1890.5152416229248	7267.765897274017
835	145.0423477963692	141.6324040728316	422	1417.3248141109943	7276.658796072006
836	201.25445146377612	142.08005881570853	552	2061.0290464758873	7289.280412197113
837	209.56916621215572	143.3420365696886	456	1377.486732840538	7299.379723072052
838	117.03558866407849	142.48824374943186	399	1193.995359390974	7308.1588361263275
839	211.18229457937463	143.13983976547766	462	1445.982032597065	7318.30534029007
840	134.41584761122522	142.4905683734114	928	2825.9866523742676	7339.14083814621
841	186.30273475635653	145.03551874404457	386	1094.9934138953686	7347.510493278503
842	163.3290113100876	145.28571483311597	580	2207.1061907708645	7360.429976224899
843	211.1309942473043	144.9716447412284	548	1847.82298399508	7372.49414229393
844	165.73502449956993	144.94655006223536	391	1222.746793717146	7381.217461109161
845	188.06292299047163	144.9780843330107	324	1303.4228256940842	7388.226508140564
846	234.62663168188135	145.67529049688383	358	1131.592894434929	7395.861265182495
847	186.12927922737697	146.14244474585098	355	1152.9415682852268	7403.3566262722015
848	192.61220101821658	146.50583309473274	476	1952.2296820282936	7413.779200077057
849	156.66826029317258	147.07067324606825	672	2377.1971725821495	7428.757785081863
850	205.7837943398445	148.75556649707502	309	1053.237390100956	7435.514573097229
851	223.77140285886458	150.0269422762744	351	1237.0097703784704	7443.079652309418
852	128.45355666541437	152.6961771004271	681	2098.8834398835897	7458.374615192413
853	161.8653050425768	152.1052612074954	431	1367.3706806600094	7467.877865076065
854	216.40347387466025	152.28179523548366	402	1428.5983151048422	7476.725986242294
